,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
6556,85A44DD7206494D1,classic_bike,2021-01-04 06:33:16,2021-01-04 06:46:22,N Veitch St & 20th St N,31029.0,Fairfax Dr & N Randolph St,31034.0,38.896923,-77.086502,38.882629,-77.10936600000001,member
69518,E7A59CF51BF43044,classic_bike,2021-01-04 06:33:35,2021-01-04 06:49:40,Columbia & Ontario Rd NW,31296.0,9th & Upshur St NW,31404.0,38.924088,-77.040787,38.9418,-77.0251,casual
45000,399BA29022ADD135,classic_bike,2021-01-04 06:33:54,2021-01-04 06:37:29,11th & Girard St NW,31126.0,14th & Irving St NW,31124.0,38.925636,-77.027112,38.928552,-77.032224,member
37611,7F316B7C42502920,classic_bike,2021-01-04 06:34:08,2021-01-04 06:34:48,Thomas Circle,31241.0,Thomas Circle,31241.0,38.9059,-77.0325,38.9059,-77.0325,member
16153,271E0C16F82D9BF8,classic_bike,2021-01-04 06:34:22,2021-01-04 06:47:11,Adams Mill & Columbia Rd NW,31104.0,34th St & Wisconsin Ave NW,31226.0,38.922925,-77.04258100000001,38.916441999999996,-77.0682,member
95114,76C416E34343DF61,classic_bike,2021-01-04 06:34:36,2021-01-04 07:06:40,15th & W St NW,31125.0,3rd St & Pennsylvania Ave SE,31269.0,38.9190185,-77.034449,38.887378000000005,-77.00195500000001,casual
17497,8D14C4A00A374C70,classic_bike,2021-01-04 06:34:46,2021-01-04 06:39:17,18th & New Hampshire Ave NW,31324.0,15th & W St NW,31125.0,38.911268,-77.041829,38.9190185,-77.034449,member
81041,22621F742BB93956,classic_bike,2021-01-04 06:35:48,2021-01-04 06:59:18,14th & Otis Pl NW,31131.0,Lynn St & 19th St North,31014.0,38.934405,-77.032687,38.897315,-77.070993,member
4693,91C91A8AD8DC4D7B,classic_bike,2021-01-04 06:35:49,2021-01-04 07:06:38,Monroe Ave & Leslie Ave,31087.0,Eads St & 12th St S,31071.0,38.820932,-77.053096,38.862753000000005,-77.05428,member
56109,075965520765C0B8,classic_bike,2021-01-04 06:36:00,2021-01-04 06:43:35,Thomas Circle,31241.0,M St & Pennsylvania Ave NW,31246.0,38.9059,-77.0325,38.905126,-77.056887,member
36331,BC75CC55EB73CC36,electric_bike,2021-01-04 06:37:45,2021-01-04 06:49:14,Edgewood Rec Center,31529.0,17th & Corcoran St NW,31214.0,38.92403133333333,-77.00209016666666,38.91224133333333,-77.03854816666667,member
75672,22561EE8521EC5C0,classic_bike,2021-01-04 06:37:50,2021-01-04 06:46:49,1st & O St NW,31519.0,Metro Center / 12th & G St NW,31230.0,38.908643,-77.012365,38.898364,-77.027869,member
46455,EF0532AB313C6294,classic_bike,2021-01-04 06:39:24,2021-01-04 07:00:48,New Hampshire Ave & 24th St NW,31275.0,1st & Washington Hospital Center NW,31507.0,38.901755,-77.051084,38.928743,-77.012457,member
63735,869DEAE5A3BA945F,classic_bike,2021-01-04 06:39:51,2021-01-04 06:47:33,8th & K St NE,31660.0,3rd & H St NW,31604.0,38.90273216425078,-76.99514991079924,38.899408,-77.015289,member
43728,C1996DEA07B2DB89,classic_bike,2021-01-04 06:40:48,2021-01-04 06:46:59,Wisconsin Ave & Ingomar St NW,31317.0,Connecticut Ave & McKinley St NW,31315.0,38.958267,-77.084636,38.964543509245885,-77.07513481378554,member
35423,D4F3EAE4F63C5089,classic_bike,2021-01-04 06:41:29,2021-01-04 07:05:57,Columbia Rd & Belmont St NW,31113.0,Wisconsin Ave & Newark St NW,31302.0,38.920669000000004,-77.04368000000001,38.934881,-77.072755,member
43700,EE5D77E894B2607A,classic_bike,2021-01-04 06:42:13,2021-01-04 06:49:17,14th & L St NW,31283.0,22nd & I St NW / Foggy Bottom,31257.0,38.903658,-77.03173699999999,38.90088,-77.048911,member
70496,D9CD41DE1C793809,classic_bike,2021-01-04 06:42:29,2021-01-04 06:54:05,Columbus Circle / Union Station,31623.0,New York Ave & Hecht Ave NE,31518.0,38.89696,-77.00493,38.915603999999995,-76.983683,member
48307,C62EC1F120F70D97,electric_bike,2021-01-04 06:42:48,2021-01-04 06:53:45,New Hampshire Ave & Ward Pl NW,31212.0,Reservoir Rd & 38th St NW,31325.0,38.90568366666667,-77.04721333333333,38.9126745,-77.07429983333333,member
9924,78D0A6ADB86496F6,classic_bike,2021-01-04 06:43:19,2021-01-04 06:49:57,5th & K St NW,31600.0,12th & L St NW,31251.0,38.903040000000004,-77.01902700000001,38.903819,-77.0284,member
83604,3A916326192D34FE,classic_bike,2021-01-04 06:44:56,2021-01-04 06:54:13,5th St & Massachusetts Ave NW,31265.0,18th St & Pennsylvania Ave NW,31242.0,38.900929999999995,-77.018677,38.89968,-77.041539,member
96764,F7D2ABC371DED0D2,classic_bike,2021-01-04 06:45:06,2021-01-04 06:51:47,Massachusetts Ave & Dupont Circle NW,31200.0,23rd & E St NW ,31260.0,38.9101,-77.0444,38.896104,-77.049882,member
